abbreviation,full text
AdVermiG,Adoptionsvermittlungsgesetz
AFG,Arbeitsförderungsgesetz
AltPflG,Altenpflegegesetz
AO,Abgabenordnung
AuslG,Ausländergesetz
BAFöG,Bundesausbildungsförderungsgesetz
BBiG,Berufsbildungsgesetz
BDSG,Bundesdatenschutzgesetz
BErzGG,Bundeserziehungsgeldgesetz
BetrVG,Betriebsverfassungsgesetz
BGB,Bürgerliches Gesetzbuch
BGG,Behindertengleichstellungsgesetz
BGleiG,Bundesgleichstellungsgesetz
BKGG,Bundeskindergeldgesetz
BRRG,Beamtenrechtsrahmengesetz
BSeuchG,Bundesseuchengesetz
BSHG,Bundessozialhilfegesetz
BtBG,Betreuungsbehördengesetz
BtG,Betreuungsgesetz
BtmG,Betäubungsmittelgesetz
BVG,Bundesversorgungsgesetz
EStG,Einkommenssteuergesetz
FEVG,Freiheitsentziehungsverfahrensgesetz
FGG,Gesetz über die Angelegenheiten der freiwilligen Gerichtsbarkeit
FÖJG,Gesetz zur Förderung eines Freiwilligen Ökologischen Jahres
FSJG,Gesetz zur Förderung eines Freiwilligen Sozialen Jahres
GeschlKrG,Gesetz zur Bekämpfung der Geschlechtskrankheiten
GewO,Gewerbeordnung
GG,Grundgesetz
GlG,Gleichstellungsgesetze
HeimBSG,Heimbewohnerschutzgesetz
HeimG,Heimgesetz
JArbSchG,Jugendarbeitsschutzgesetz
JGG,Jugendgerichtsgesetz
JÖSchG,Gesetz zum Schutz der Jugend in der Öffentlichkeit (Jugendschutzgesetz)
KHG,Krankenhausfinanzierungsgesetz
KJHG,Kinder- und Jugendhilfegesetz
KrPflG,Krankenpflegegesetz
KSchG,Kündigungsschutzgesetz
LGBG,Landesgleichberechtigungsgesetz
MuSchG,Mutterschutzgesetz
PersAuswG,Personalausweisgesetz
PersVG,Personalvertretungsgesetz
PQsG,Pflege-Qualitätssicherungsgesetz
PsychThG,Psychotherapeutengesetz
SchKG,Schwangerschaftskonfliktgesetz
SchwbG,Schwerbehindertengesetz
SGB,Sozialgesetzbuch
SGG,Sozialgerichtsgesetz
StBauFG,Städtebauförderungsgesetz
StGB,Strafgesetzbuch
StPO,Strafprozessordnung
StVollzG,Strafvollzugsgesetz
USG,Unterhaltssicherungsgesetz
UVG,Unterhaltsvorschussgesetz
VwGO,Verwaltungsgerichtsordnung
VwVfG,Verwaltungsverfahrensgesetz
WoGG,Wohngeldgesetz
ZDG,Zivildienstgesetz
